.HHH....HHHHHHHH 	 subw_3 1
.HHH....HHHHHHHH 	 rsb.w_3 1
.HHH....HHHHHHHH 	 cmp.w_2 1
.HHH....HHHHHHHH 	 and.w_3 1
.HHH....HHHHHHHH 	 cmn.w_2 1
.HHH....HHHHHHHH 	 sbc.w_3 1
.HHH....HHHHHHHH 	 add.w_3 1
.HHH....HHHHHHHH 	 bic.w_3 1
.HHH....HHHHHHHH 	 mvn.w_2 1
.HHH....HHHHHHHH 	 orr.w_3 1
.HHH....HHHHHHHH 	 eor.w_3 1
.HHH....HHHHHHHH 	 teq_2 1
.HHH....HHHHHHHH 	 movw_2 1
.HHH....HHHHHHHH 	 movt_2 1
.HHH....HHHHHHHH 	 mov.w_2 1
.HHH....HHHHHHHH 	 orn_3 1
